gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,320,16160,7168,cktile,28,0,78.1339,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,948.81,1644.24,0.0
gfx950,256,336,16160,7168,cktile,28,0,78.91,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,986.45,1636.08,0.0
gfx950,256,352,16160,7168,cktile,27,0,78.1155,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1043.94,1660.81,0.0
gfx950,256,368,16160,7168,cktile,11,0,79.3372,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1074.58,1643.19,0.0
gfx950,256,24,65536,1536,cktile,30,0,23.4474,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2_aqrm,206.07,4428.89,0.0
gfx950,256,40,65536,1536,cktile,32,0,23.8189,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,338.1,4448.89,0.0
gfx950,256,72,65536,1536,cktile,30,0,24.3584,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2_aqrm,595.09,4524.56,0.0
gfx950,256,80,65536,1536,cktile,12,0,24.4462,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,658.84,4551.71,0.0
gfx950,256,88,65536,1536,cktile,30,0,24.7071,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2_aqrm,717.07,4546.58,0.0
gfx950,256,96,65536,1536,cktile,32,0,24.9831,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,773.62,4538.81,0.0
gfx950,256,104,65536,1536,cktile,31,0,24.9296,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,839.88,4591.11,0.0
gfx950,256,112,65536,1536,cktile,32,0,25.4909,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,884.57,4531.63,0.0
gfx950,256,120,65536,1536,cktile,31,0,25.5041,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,947.27,4570.88,0.0
gfx950,256,136,65536,1536,cktile,31,0,26.0457,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1051.25,4557.3,0.0
gfx950,256,144,65536,1536,cktile,31,0,26.0666,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1112.19,4594.34,0.0
gfx950,256,152,65536,1536,cktile,31,0,26.6642,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1147.67,4531.16,0.0
gfx950,256,160,65536,1536,cktile,12,0,26.8079,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1201.6,4546.44,0.0
gfx950,256,168,65536,1536,cktile,30,0,27.0176,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2_aqrm,1251.88,4550.42,0.0
